,SA2,rent,bedroom,baths,parking,Latitude,Longitude,school_dis,station_dis,cbd_dis
0,201011001,490.0,4,2,2,-37.5630731,143.7938749,1651.7,5895.5,350.0
1,201011001,420.0,4,2,2,-37.5472414,143.7701059,1249.5,7529.9,350.0
2,201011001,520.0,4,2,2,-37.5663193,143.8003283,2094.0,6864.2,350.0
3,201011001,440.0,4,2,2,-37.5634529,143.7894892,3988.4,7111.3,350.0
4,201011001,440.0,4,2,2,-37.550549,143.7860381,1120.8,6272.3,350.0
5,201011001,450.0,4,2,2,-37.5571568,143.8064127,714.2,4010.1,350.0
6,201011001,350.0,3,2,2,-37.5547889,143.8114171,922.7,3316.2,350.0
7,201011001,530.0,4,2,2,-37.5454481,143.8073245,2541.5,4015.6,350.0
8,201011001,340.0,3,1,1,-37.5567299,143.8175245,610.2,2753.4,350.0
9,201011001,420.0,3,2,2,-37.5507368,143.7859533,1143.0,6294.5,350.0
10,201011001,395.0,3,2,2,-37.5502843,143.8023204,622.5,4656.5,350.0
11,201011001,450.0,4,2,2,-37.5605227,143.7901525,4304.7,7427.6,350.0
12,201011001,320.0,2,1,1,-37.5567033,143.8022568,249.3,4493.1,350.0
13,201011001,550.0,4,2,4,-37.53262,143.7689805,2680.7,7483.7,350.0
14,201011001,440.0,4,2,3,-37.5484105,143.8083635,2198.4,3819.2,350.0
15,201011001,430.0,4,2,2,-37.5546263,143.8073019,526.7,3700.5,350.0
16,201011001,385.0,3,2,2,-37.5435011,143.7802723,470.9,6368.9,350.0
17,201011001,355.0,2,2,1,-37.5563183,143.7904476,1296.7,5571.2,350.0
18,201011002,450.0,3,2,2,-37.5455982,143.8159128,1535.0,1813.2,116047.4
19,201011002,420.0,3,1,1,-37.5702907,143.8359771,954.1,3416.4,116047.4
20,201011002,350.0,3,1,3,-37.5669374,143.8591078,815.6,1315.2,116047.4
21,201011002,460.0,3,2,1,-37.5637199,143.8677382,1218.6,1442.2,116047.4
22,201011002,2.0,4,2,2,-37.5691087,143.8563224,1026.4,1545.5,116047.4
23,201011002,465.0,4,2,2,-37.5635432,143.839403,835.8,2485.8,116047.4
24,201011002,360.0,2,1,1,-37.5518497,143.8498584,1077.4,1928.7,116047.4
25,201011002,410.0,3,2,2,-37.5422437,143.8350862,749.6,1943.1,116047.4
26,201011002,445.0,3,2,2,-37.5573965,143.8424259,463.4,2274.3,116047.4
27,201011005,350.0,3,1,1,-37.6557136,143.8824885,478.1,12238.3,121414.4
28,201011005,470.0,4,2,2,-37.6180405,143.8844837,7426.1,8840.5,121414.4
29,201011006,450.0,4,2,2,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
30,201011006,2.0,4,2,2,-37.5694771,143.7910451,2824.0,6454.6,122687.8
31,201011006,410.0,4,2,2,-37.5834477,143.796622,2798.5,7198.2,122687.8
32,201011006,440.0,4,2,2,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
33,201011006,450.0,4,2,2,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
34,201011006,465.0,4,2,2,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
35,201011006,460.0,4,2,2,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
36,201011006,440.0,3,2,2,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
37,201011006,440.0,4,2,2,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
38,201011006,420.0,4,2,2,-37.5967489,143.8210094,2233.6,7085.1,122687.8
39,201011006,450.0,4,2,2,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
40,201011006,460.0,4,2,3,-37.58000415437882,143.7926896507797,3424.0,7823.7,122687.8
41,201011006,400.0,3,2,2,-37.5967489,143.8210094,2233.6,7085.1,122687.8
42,201011008,365.0,3,1,2,-37.5286266,143.8363165,925.9,3056.6,122970.1
43,201011008,430.0,3,1,3,-37.531965,143.8361044,1207.5,2686.9,122970.1
44,201011008,220.0,2,1,1,-37.52112109999999,143.8323253,360.2,3348.6,122970.1
45,201011008,340.0,2,1,1,-37.5258405,143.8336934,278.5,3099.0,122970.1
46,201011008,390.0,3,2,2,-37.5009311,143.8038682,3260.6,5458.0,122970.1
47,201011008,555.0,4,2,2,-37.4997622,143.8089361,3746.0,5382.2,122970.1
48,201011008,360.0,3,2,2,-37.5202527,143.8261776,177.5,2806.4,122970.1
49,201011481,370.0,3,2,2,-37.5540147,143.886532,2713.4,2937.1,111383.1
50,201011481,420.0,4,2,2,-37.5576777,143.9024639,4277.4,4501.0,111383.1
51,201011481,350.0,3,1,1,-37.5586022,143.8906606,3054.3,3277.9,111383.1
52,201011481,400.0,3,1,2,-37.5535597,143.8866063,2734.4,2958.1,111383.1
53,201011482,270.0,2,1,1,-37.5436585,143.8687382,3046.0,2853.1,116672.6
