,SA2,cbd_dis
0,201011001,350.0
1,201011002,116047.4
2,201011005,121414.4
3,201011006,122687.8
4,201011007,127252.4
5,201011008,122970.1
6,201011481,111383.1
7,201011482,116672.6
8,201011483,117460.1
9,201011484,118404.6
10,201021009,75419.8
11,201021010,350.0
12,201021011,117324.4
13,201021012,105503.9
14,201031013,350.0
15,201031014,169001.4
16,201031015,152818.4
17,201031016,184568.2
18,201031017,191614.6
19,202011018,152998.1
20,202011019,167545.7
21,202011020,155587.0
22,202011021,152374.1
23,202011022,144471.1
24,202011023,158112.8
25,202011024,156464.7
26,202011025,161158.8
27,202021026,144505.7
28,202021027,120716.2
29,202021028,131513.3
30,202021029,350.0
31,202021030,350.0
32,202021031,70650.4
33,202031032,175951.4
34,202031033,216483.7
35,203011034,92775.6
36,203011035,123256.7
37,203011036,112241.8
38,203021037,87651.6
39,203021039,81160.9
40,203021040,350.0
41,203021042,80985.6
42,203021043,350.0
43,203021044,90761.5
44,203021045,85464.9
45,203021046,77469.6
46,203021047,72151.4
47,203021485,89722.9
48,203021486,71126.1
49,203021487,86838.0
50,203021488,66963.3
51,203031048,98849.4
52,203031049,350.0
53,203031051,110325.4
54,203031052,107235.3
55,203031053,99322.8
56,203031489,100223.1
57,203031490,350.0
58,204011054,350.0
59,204011055,159789.6
60,204011056,71819.9
61,204011057,243606.3
62,204011058,126105.8
63,204011059,103636.5
64,204011060,350.0
65,204011061,350.0
66,204011062,350.0
67,204021063,206214.7
68,204021064,350.0
69,204021065,284603.3
70,204021066,240931.0
71,204021067,256972.6
72,204031068,278569.9
73,204031069,350.0
74,204031070,285491.8
75,204031071,299190.9
76,204031072,426343.7
77,204031073,350.0
78,204031075,343993.7
79,204031491,322424.8
80,204031492,309916.8
81,205011076,92046.7
82,205011077,160490.4
83,205011078,124444.5
84,205011079,111665.6
85,205021080,350.0
86,205021081,279305.4
87,205021082,394921.4
88,205021083,350.0
89,205021084,308446.2
90,205021085,350.0
91,205021086,350.0
92,205031087,350.0
93,205031088,124582.8
94,205031089,116041.6
95,205031090,350.0
96,205031091,136696.1
97,205031092,350.0
98,205031093,350.0
99,205041094,166516.3
100,205041095,139536.4
101,205041096,155214.2
102,205041098,170670.1
103,205041493,350.0
104,205041494,161675.8
105,205051099,350.0
106,205051100,350.0
107,205051101,350.0
108,205051102,186723.0
109,205051103,213831.3
110,205051104,350.0
111,206011106,5941.5
112,206011107,7249.0
113,206011109,8892.0
114,206011495,6039.0
115,206011496,4983.3
116,206011497,8458.8
117,206011498,8947.4
118,206021110,9608.4
119,206021112,8837.1
120,206021499,8339.2
121,206021500,6257.3
122,206031113,7168.5
123,206031115,5104.8
124,206031116,6820.8
125,206031501,10496.8
126,206031502,8604.3
127,206041117,1907.3
128,206041118,2464.6
129,206041119,2196.6
130,206041120,6888.5
131,206041121,4489.2
132,206041124,3644.0
133,206041125,3830.1
134,206041127,4436.9
135,206041503,918.3
136,206041504,556.4
137,206041505,955.6
138,206041506,3107.4
139,206041507,2347.1
140,206041508,2007.9
141,206041509,9948.1
