,id,Annotations,Name,Parent,Description
0,AUS,,Australia,,
1,1,,New South Wales,,
2,1GSYD,,Greater Sydney,,
3,102,,Central Coast,,
4,10201,,Gosford,,
5,102011028,,Avoca Beach - Copacabana,,
6,102011029,,Box Head - MacMasters Beach,,
7,102011030,,Calga - Kulnura,,
8,102011031,,Erina - Green Point,,
9,102011032,,Gosford - Springfield,,
10,102011033,,Kariong,,
11,102011034,,Kincumber - Picketts Valley,,
12,102011035,,Narara,,
13,102011036,,Niagara Park - Lisarow,,
14,102011037,,Point Clare - Koolewong,,
15,102011038,,Saratoga - Davistown,,
16,102011039,,Terrigal - North Avoca,,
17,102011040,,Umina - Booker Bay - Patonga,,
18,102011041,,Wamberal - Forresters Beach,,
19,102011042,,Woy Woy - Blackwall,,
20,102011043,,Wyoming,,
21,10202,,Wyong,,
22,102021044,,Bateau Bay - Killarney Vale,,
23,102021045,,Blue Haven - San Remo,,
24,102021046,,Budgewoi - Buff Point - Halekulani,,
25,102021047,,Chittaway Bay - Tumbi Umbi,,
26,102021048,,Gorokan - Kanwal - Charmhaven,,
27,102021049,,Jilliby - Yarramalong,,
28,102021050,,Lake Munmorah - Mannering Park,,
29,102021051,,Ourimbah - Fountaindale,,
30,102021052,,Summerland Point - Gwandalan,,
31,102021053,,The Entrance,,
32,102021054,,Toukley - Norah Head,,
33,102021055,,Tuggerah - Kangy Angy,,
34,102021056,,Warnervale - Wadalba,,
35,102021057,,Wyong,,
36,115,,Sydney - Baulkham Hills and Hawkesbury,,
37,11501,,Baulkham Hills,,
38,115011290,,Baulkham Hills - East,,
39,115011291,,Baulkham Hills (West) - Bella Vista,,
40,115011294,,Glenhaven,,
41,115011296,,West Pennant Hills,,
42,115011553,,Castle Hill - Central,,
43,115011554,,Castle Hill - East,,
44,115011555,,Castle Hill - North,,
45,115011556,,Castle Hill - South,,
46,115011557,,Castle Hill - West,,
47,115011558,,Cherrybrook,,
48,115011621,,Kellyville - East,,
49,115011622,,Kellyville - West,,
50,11502,,Dural - Wisemans Ferry,,
51,115021297,,Dural - Kenthurst - Wisemans Ferry,,
52,115021298,,Galston - Laughtondale,,
53,11503,,Hawkesbury,,
54,115031299,,Bilpin - Colo - St Albans,,
55,115031300,,Kurrajong Heights - Ebenezer,,
56,11504,,Rouse Hill - McGraths Hill,,
57,115041301,,Pitt Town - McGraths Hill,,
58,115041623,,Box Hill - Nelson,,
59,115041624,,North Kellyville,,
60,115041625,,Rouse Hill - Beaumont Hills,,
61,116,,Sydney - Blacktown,,
62,11601,,Blacktown,,
63,116011303,,Blacktown (East) - Kings Park,,
64,116011304,,Blacktown (North) - Marayong,,
65,116011306,,Doonside - Woodcroft,,
66,116011307,,Lalor Park - Kings Langley,,
67,116011560,,Blacktown - South,,
68,116011561,,Blacktown - West,,
69,116011626,,Seven Hills - Prospect,,
70,116011627,,Toongabbie - West,,
71,11602,,Blacktown - North,,
72,116021309,,Glenwood,,
73,116021562,,Acacia Gardens,,
74,116021563,,Quakers Hill,,
75,116021628,,Kellyville Ridge - The Ponds,,
76,116021629,,Marsden Park - Shanes Park,,
77,116021630,,Riverstone,,
78,116021631,,Schofields (West) - Colebee,,
79,116021632,,Schofields - East,,
80,116021633,,Stanhope Gardens - Parklea,,
81,11603,,Mount Druitt,,
82,116031313,,Bidwill - Hebersham - Emerton,,
83,116031314,,Glendenning - Dean Park,,
84,116031315,,Hassall Grove - Plumpton,,
85,116031316,,Lethbridge Park - Tregear,,
86,116031317,,Mount Druitt - Whalan,,
87,116031318,,Prospect Reservoir,,
88,116031319,,Rooty Hill - Minchinbury,,
89,117,,Sydney - City and Inner South,,
90,11701,,Botany,,
91,117011320,,Banksmeadow,,
92,117011321,,Botany,,
93,117011323,,Pagewood - Hillsdale - Daceyville,,
94,117011324,,Port Botany Industrial,,
95,117011325,,Sydney Airport,,
96,117011634,,Eastlakes,,
97,117011635,,Mascot,,
98,11702,,Marrickville - Sydenham - Petersham,,
99,117021327,,Petersham - Stanmore,,
100,117021328,,Sydenham - Tempe - St Peters,,
101,117021636,,Marrickville - North,,
102,117021637,,Marrickville - South,,
103,11703,,Sydney Inner City,,
104,117031329,,Darlinghurst,,
105,117031330,,Erskineville - Alexandria,,
106,117031331,,Glebe - Forest Lodge,,
107,117031333,,Potts Point - Woolloomooloo,,
108,117031336,,Surry Hills,,
109,117031638,,Camperdown - Darlington,,
110,117031639,,Chippendale,,
111,117031640,,Newtown (NSW),,
112,117031641,,Pyrmont,,
113,117031642,,Redfern,,
114,117031643,,Rosebery - Beaconsfield,,
115,117031644,,Sydney (North) - Millers Point,,
116,117031645,,Sydney (South) - Haymarket,,
117,117031646,,Ultimo,,
118,117031647,,Waterloo,,
119,117031648,,Zetland,,
120,118,,Sydney - Eastern Suburbs,,
121,11801,,Eastern Suburbs - North,,
122,118011339,,Bondi - Tamarama - Bronte,,
123,118011340,,Bondi Beach - North Bondi,,
124,118011341,,Bondi Junction - Waverly,,
125,118011342,,Centennial Park,,
126,118011344,,Dover Heights,,
127,118011345,,Paddington - Moore Park,,
128,118011346,,Rose Bay - Vaucluse - Watsons Bay,,
129,118011347,,Woollahra,,
130,118011649,,Bellevue Hill,,
131,118011650,,Double Bay - Darling Point,,
132,11802,,Eastern Suburbs - South,,
133,118021564,,Kensington (NSW),,
134,118021565,,Kingsford,,
135,118021566,,Maroubra - North,,
136,118021567,,Maroubra - South,,
137,118021568,,Maroubra - West,,
138,118021569,,Randwick - North,,
139,118021570,,Randwick - South,,
140,118021651,,Coogee - Clovelly,,
141,118021652,,Malabar - La Perouse,,
142,118021653,,Matraville - Chifley,,
143,118021654,,South Coogee,,
144,119,,Sydney - Inner South West,,
145,11901,,Bankstown,,
146,119011354,,Bass Hill - Georges Hall,,
147,119011355,,Chullora,,
148,119011356,,Condell Park,,
149,119011358,,Padstow,,
