201011002,2021,Family households,Total,3032
201011002,2021,Family households,Total,3032
202011020,2021,Queensland,"$1,750-$1,999",84
202011020,2021,$150-$299,"$1,750-$1,999",84
202011020,2021,Non-family household,"$1,750-$1,999",84
202011020,2021,Queensland,"$1,750-$1,999",84
202011025,2021,Family households,"$1,750-$1,999",278
204011057,2021,Queensland,South Australia,78
204011057,2021,$150-$299,South Australia,78
204011057,2021,Non-family household,South Australia,78
204011057,2021,Queensland,South Australia,78
204011057,2021,Queensland,$300-$399,78
204011057,2021,$150-$299,$300-$399,78
204011057,2021,Non-family household,$300-$399,78
204011057,2021,Queensland,$300-$399,78
204011057,2021,Queensland,South Australia,78
204011057,2021,$150-$299,South Australia,78
204011057,2021,Non-family household,South Australia,78
204011057,2021,Queensland,South Australia,78
204011062,2021,Family households,South Australia,11
204011062,2021,Family households,$300-$399,11
204011062,2021,Family households,South Australia,11
204031069,2021,Total,Northern Territory,243
204031069,2021,Total,Northern Territory,243
204031069,2021,Total,$650-$799,243
204031069,2021,Total,$650-$799,243
204031069,2021,Total,Northern Territory,243
204031069,2021,Total,Northern Territory,243
205021084,2021,Total,"$4,000 or more",142
205021084,2021,Total,"$4,000 or more",142
205051103,2021,Total,Total,6156
205051103,2021,Total,Total,6156
205051103,2021,Total,Total,6156
205051103,2021,Total,Total,6156
206011106,2021,Queensland,"$1,250-$1,499",263
206011106,2021,$150-$299,"$1,250-$1,499",263
206011106,2021,Non-family household,"$1,250-$1,499",263
206011106,2021,Queensland,"$1,250-$1,499",263
206011497,2021,Family households,"$1,250-$1,499",194
206031115,2021,Total,"$2,000-$2,499",447
206031115,2021,Total,"$2,000-$2,499",447
206061515,2021,Queensland,Victoria,29
206061515,2021,$150-$299,Victoria,29
206061515,2021,Non-family household,Victoria,29
206061515,2021,Queensland,Victoria,29
206061515,2021,Queensland,$1-$149,29
206061515,2021,$150-$299,$1-$149,29
206061515,2021,Non-family household,$1-$149,29
206061515,2021,Queensland,$1-$149,29
206061515,2021,Queensland,Victoria,29
206061515,2021,$150-$299,Victoria,29
206061515,2021,Non-family household,Victoria,29
206061515,2021,Queensland,Victoria,29
206071141,2021,Family households,Victoria,6
206071141,2021,Family households,$1-$149,6
206071141,2021,Family households,Victoria,6
206071517,2021,Family households,Western Australia,25
206071517,2021,Family households,$400-$499,25
206071517,2021,Family households,Western Australia,25
207011147,2021,Total,Western Australia,242
207011147,2021,Total,Western Australia,242
207011147,2021,Total,$400-$499,242
207011147,2021,Total,$400-$499,242
207011147,2021,Total,Western Australia,242
207011147,2021,Total,Western Australia,242
207011150,2021,Queensland,"$3,500-$3,999",14
207011150,2021,$150-$299,"$3,500-$3,999",14
207011150,2021,Non-family household,"$3,500-$3,999",14
207011150,2021,Queensland,"$3,500-$3,999",14
207021159,2021,Family households,"$3,000-$3,499",385
207031165,2021,Total,Partial income stated,188
207031165,2021,Total,Partial income stated,188
209011196,2021,Family households,Northern Territory,143
209011196,2021,Family households,$650-$799,143
209011196,2021,Family households,Northern Territory,143
209011200,2021,Family households,"$1,250-$1,499",143
210011533,2021,Family households,Victoria,31
210011533,2021,Family households,$1-$149,31
210011533,2021,Family households,Victoria,31
210021234,2021,Total,Victoria,12
210021234,2021,Total,Victoria,12
210021234,2021,Total,$1-$149,12
210021234,2021,Total,$1-$149,12
210021234,2021,Total,Victoria,12
210021234,2021,Total,Victoria,12
210031237,2021,Total,Western Australia,342
210031237,2021,Total,Western Australia,342
210031237,2021,Total,$400-$499,342
210031237,2021,Total,$400-$499,342
210031237,2021,Total,Western Australia,342
210031237,2021,Total,Western Australia,342
210041240,2021,Family households,"$3,500-$3,999",252
210051250,2021,Total,"$3,000-$3,499",142
210051250,2021,Total,"$3,000-$3,499",142
210051445,2021,Total,Partial income stated,286
210051445,2021,Total,Partial income stated,286
211041271,2021,Queensland,Northern Territory,83
211041271,2021,$150-$299,Northern Territory,83
211041271,2021,Non-family household,Northern Territory,83
211041271,2021,Queensland,Northern Territory,83
211041271,2021,Queensland,$650-$799,83
211041271,2021,$150-$299,$650-$799,83
211041271,2021,Non-family household,$650-$799,83
211041271,2021,Queensland,$650-$799,83
211041271,2021,Queensland,Northern Territory,83
211041271,2021,$150-$299,Northern Territory,83
211041271,2021,Non-family household,Northern Territory,83
211041271,2021,Queensland,Northern Territory,83
211051275,2021,Family households,Northern Territory,158
211051275,2021,Family households,$650-$799,158
211051275,2021,Family households,Northern Territory,158
211051280,2021,Total,Northern Territory,104
211051280,2021,Total,Northern Territory,104
211051280,2021,Total,$650-$799,104
211051280,2021,Total,$650-$799,104
211051280,2021,Total,Northern Territory,104
211051280,2021,Total,Northern Territory,104
211051284,2021,Total,"$1,250-$1,499",226
211051284,2021,Total,"$1,250-$1,499",226
212011289,2021,Queensland,"$4,000 or more",25
212011289,2021,$150-$299,"$4,000 or more",25
212011289,2021,Non-family household,"$4,000 or more",25
212011289,2021,Queensland,"$4,000 or more",25
212031306,2021,Queensland,Total,500
212031306,2021,$150-$299,Total,500
212031306,2021,Non-family household,Total,500
212031306,2021,Queensland,Total,500
212031306,2021,Queensland,Total,500
212031306,2021,$150-$299,Total,500
212031306,2021,Non-family household,Total,500
212031306,2021,Queensland,Total,500
212041459,2021,Total,Victoria,30
212041459,2021,Total,Victoria,30
212041459,2021,Total,$1-$149,30
212041459,2021,Total,$1-$149,30
212041459,2021,Total,Victoria,30
212041459,2021,Total,Victoria,30
212051322,2021,Queensland,"$1,750-$1,999",72
212051322,2021,$150-$299,"$1,750-$1,999",72
212051322,2021,Non-family household,"$1,750-$1,999",72
212051322,2021,Queensland,"$1,750-$1,999",72
213041573,2021,Queensland,South Australia,8
213041573,2021,$150-$299,South Australia,8
213041573,2021,Non-family household,South Australia,8
213041573,2021,Queensland,South Australia,8
213041573,2021,Queensland,$300-$399,8
213041573,2021,$150-$299,$300-$399,8
213041573,2021,Non-family household,$300-$399,8
213041573,2021,Queensland,$300-$399,8
213041573,2021,Queensland,South Australia,8
213041573,2021,$150-$299,South Australia,8
213041573,2021,Non-family household,South Australia,8
213041573,2021,Queensland,South Australia,8
213051363,2021,Family households,Northern Territory,116
213051363,2021,Family households,$650-$799,116
213051363,2021,Family households,Northern Territory,116
213051468,2021,Total,Northern Territory,321
213051468,2021,Total,Northern Territory,321
213051468,2021,Total,$650-$799,321
213051468,2021,Total,$650-$799,321
213051468,2021,Total,Northern Territory,321
213051468,2021,Total,Northern Territory,321
213051587,2021,Queensland,"$4,000 or more",24
213051587,2021,$150-$299,"$4,000 or more",24
213051587,2021,Non-family household,"$4,000 or more",24
213051587,2021,Queensland,"$4,000 or more",24
215021396,2021,Queensland,Other Territories,59
215021396,2021,$150-$299,Other Territories,59
215021396,2021,Non-family household,Other Territories,59
215021396,2021,Queensland,Other Territories,59
215021396,2021,Queensland,"$1,000-$1,249",59
215021396,2021,$150-$299,"$1,000-$1,249",59
215021396,2021,Non-family household,"$1,000-$1,249",59
215021396,2021,Queensland,"$1,000-$1,249",59
215021396,2021,Queensland,Other Territories,59
215021396,2021,$150-$299,Other Territories,59
215021396,2021,Non-family household,Other Territories,59
215021396,2021,Queensland,Other Territories,59
215031403,2021,Family households,"$1,750-$1,999",46
216011406,2021,Total,"$1,750-$1,999",331
216011406,2021,Total,"$1,750-$1,999",331
217041480,2021,Queensland,New South Wales,60
