,id,Annotations,Name,Parent,Description
0,A04,,0 - 4,,
1,0,,0,,
2,1,,1,,
3,2,,2,,
4,3,,3,,
5,4,,4,,
6,A59,,5 - 9,,
7,5,,5,,
8,6,,6,,
9,7,,7,,
10,8,,8,,
11,9,,9,,
12,A10,,10 - 14,,
13,10,,10,,
14,11,,11,,
15,12,,12,,
16,13,,13,,
17,14,,14,,
18,A15,,15 - 19,,
19,15,,15,,
20,16,,16,,
21,17,,17,,
22,18,,18,,
23,19,,19,,
24,A20,,20 - 24,,
25,20,,20,,
26,21,,21,,
27,22,,22,,
28,23,,23,,
29,24,,24,,
30,A25,,25 - 29,,
31,25,,25,,
32,26,,26,,
33,27,,27,,
34,28,,28,,
35,29,,29,,
36,A30,,30 - 34,,
37,30,,30,,
38,31,,31,,
39,32,,32,,
40,33,,33,,
41,34,,34,,
42,A35,,35 - 39,,
43,35,,35,,
44,36,,36,,
45,37,,37,,
46,38,,38,,
47,39,,39,,
48,A40,,40 - 44,,
49,40,,40,,
50,41,,41,,
51,42,,42,,
52,43,,43,,
53,44,,44,,
54,A45,,45 - 49,,
55,45,,45,,
56,46,,46,,
57,47,,47,,
58,48,,48,,
59,49,,49,,
60,A50,,50 - 54,,
61,50,,50,,
62,51,,51,,
63,52,,52,,
64,53,,53,,
65,54,,54,,
66,A55,,55 - 59,,
67,55,,55,,
68,56,,56,,
69,57,,57,,
70,58,,58,,
71,59,,59,,
72,A60,,60 - 64,,
73,60,,60,,
74,61,,61,,
75,62,,62,,
76,63,,63,,
77,64,,64,,
78,A65,,65 - 69,,
79,65,,65,,
80,66,,66,,
81,67,,67,,
82,68,,68,,
83,69,,69,,
84,A70,,70 - 74,,
85,70,,70,,
86,71,,71,,
87,72,,72,,
88,73,,73,,
89,74,,74,,
90,A75,,75 - 79,,
91,75,,75,,
92,76,,76,,
93,77,,77,,
94,78,,78,,
95,79,,79,,
96,A80,,80 - 84,,
97,80,,80,,
98,81,,81,,
99,82,,82,,
100,83,,83,,
101,84,,84,,
102,A85,,85 - 89,,
103,85,,85,,
104,86,,86,,
105,87,,87,,
106,88,,88,,
107,89,,89,,
108,A90,,90 - 94,,
109,90,,90,,
110,91,,91,,
111,92,,92,,
112,93,,93,,
113,94,,94,,
114,A95,,95 - 99,,
115,95,,95,,
116,96,,96,,
117,97,,97,,
118,98,,98,,
119,99,,99,,
