,School Name,SA2,Latitude,Longitude,School Type
241,Kurnai College - University Campus,205041094,-38.30939,146.424883,Secondary
295,Learning Co-Operative School,209031212,-37.62939233,145.2133347,Primary
297,Andale School,207011153,-37.805513,145.036044,Combined
298,The Currajong School,208041195,-37.875953,145.059946,Combined
299,Mansfield Autism Statewide Services,204011057,-37.060799,146.085858,Combined
300,Rossbourne School,207011151,-37.82304,145.02655,Secondary
301,St Paul's College,207011153,-37.812213,145.086665,Combined
303,Catholic Regional College Sydenham,213011339,-37.699136,144.771012,Secondary
307,Catherine McAuley College,202011018,-36.753444,144.273362,Secondary
312,Williamstown High School,213021346,-37.862753,144.895131,Secondary
313,Wodonga Senior Secondary College,204031074,-36.12745035,146.88022763,Secondary
314,Swinburne Senior Secondary College,207011151,-37.823135,145.040821,Secondary
315,Essendon Keilor College-Senior Campus,206031114,-37.755219,144.901945,Secondary
316,Echuca College,216011406,-36.132394,144.732423,Secondary
339,Blackburn English Language School,207031166,-37.847889,145.148292,Combined
351,Penshurst Primary School,217011423,-37.87947471,142.29096858,Primary
354,Mildura Senior College,215021470,-34.19800387,142.14539009,Secondary
357,Bendigo Senior Secondary College,202011018,-36.7551,144.279586,Secondary
358,Myrtleford P-12 College,204031071,-36.54888702,146.72614474,Combined
359,Traralgon College,205041097,-38.19142459,146.51948948,Secondary
361,Perseverance Primary School,205031088,-38.38337735,145.33340517,Primary
363,Wonthaggi Secondary College,205031093,-38.609807,145.597177,Secondary
370,St Monica's College,209041432,-37.655706,145.032058,Secondary
374,Sandringham College,208011173,-37.9566838,145.02334835,Secondary
375,St Francis Xavier College,212011287,-38.051525,145.373328,Secondary
377,Hallam Senior Secondary College,212021297,-38.000383,145.262797,Secondary
379,Collingwood English Language School,206071141,-37.80784119,144.98479952,Combined
388,Broadmeadows Valley Primary School Meadowfair North Campus,210051242,-37.68110291,144.91319666,Primary
398,Noble Park English Language School,212041460,-37.971168,145.178166,Combined
400,Dandenong Ranges Steiner School - School Road Campus,211051274,-37.921023,145.406706,Primary
413,Copperfield College,213011331,-37.719607,144.772454,Secondary
417,Kamaruka,206061137,-37.83761581,144.99767865,Combined
419,Western English Language School,213031347,-37.790995,144.85403623,Combined
427,Lavalla Catholic College,205041097,-38.200886266954285,146.51419568451692,Secondary
432,Ozford College,206041122,-37.812785,144.954532,Secondary
439,Sale College,205051103,-38.108921,147.068006,Secondary
443,Holmes Grammar School,206041122,-37.810302,144.972271,Secondary
444,Aurora School,207031162,-37.84017872,145.15079119,Primary
478,Coburg High School,206011108,-37.740781,144.972778,Secondary
480,Point Cook Senior Secondary College,213051465,-37.886718,144.73282,Secondary
503,EdSpace,204021063,-36.547667,145.984303,Combined
505,Deutsche Schule Melbourne,206071143,-37.779109,144.982915,Primary
507,John Monash Science School,212051320,-37.91419502,145.12878264,Secondary
513,ECG College,205011079,-38.178231,145.926224,Secondary
524,Shepparton ACE Secondary College,216031417,-36.3776363800323,145.401748339538,Secondary
527,Seymour College,204011059,-37.02984234,145.1411167,Combined
536,Emmaus College - Burwood Campus,207031165,-37.848401,145.096388,Secondary
537,Lauriston Girls' School - Blairholme Campus,206061135,-37.851385,145.025897,Combined
538,Mount Scopus Memorial College - Fink Karp Ivany Campus,208021178,-37.899582,145.033683,Combined
539,The King David School - The Rebecca Magid Centre,206061135,-37.852779,145.02033,Combined
540,Firbank Grammar School - Second Campus,208011169,-37.907862,144.997029,Combined
548,Emmanuel College Inc. - Emmanuel Senior Campus,217041479,-38.373613,142.481482,Secondary
562,De La Salle College - Kinnoull Campus,208041194,-37.855531,145.031927,Combined
568,Caroline Chisholm Catholic College,213031347,-37.7862764343929,144.84960932540906,Secondary
593,MacKillop Catholic Regional College - St Mary's Campus,213051368,-37.953083,144.696836,Secondary
597,Berry Street School - Morwell Campus,205041096,-38.235253,146.384528,Secondary
598,Mansfield Autism Statewide Services - Dookie Campus Secondary School,216031418,-36.38429597,145.7034089,Combined
599,OneSchool Global Vic - Stawell Centre,215011392,-37.07008264,142.77611197,Combined
601,Heritage College - Officer Campus,212011287,-38.05435274,145.41671813,Combined
615,St Margaret’s Berwick Grammar - Berwick Grammar School,212011287,-38.05197059,145.41217563,Combined
622,Yesodei HaTorah College - Brighton Campus,208011169,-37.917774,145.001202,Combined
623,Simonds Catholic College - St Brigid's VCE Campus,206071143,-37.79187419,144.97648538,Secondary
624,OneSchool Global Vic - Geelong Campus,203021038,-38.071167,144.337672,Combined
2973,Watsonia Primary School,209011204,-37.70643,145.086625,Primary
3299,Indie School Wodonga,204031074,-36.118028,146.889403,Secondary
3574,Alberton Primary School,205051104,-38.61782097,146.66650932,Primary
3575,Allansford and District Primary School,217041480,-38.386281,142.590393,Primary
3576,Avoca Primary School,201031013,-37.084502,143.475649,Primary
3577,Avenel Primary School,204011058,-36.901368,145.234722,Primary
3578,Warrandyte Primary School,211021262,-37.742675,145.21398,Primary
3579,Belmont Primary School,203021037,-38.170672,144.342099,Primary
3580,Bacchus Marsh Primary School,213041353,-37.67302961,144.44312066,Primary
3581,Ballarat Primary School (Dana Street),201011002,-37.56401278,143.85393604,Primary
3582,Wodonga Primary School,204031074,-36.129214,146.88982,Primary
3583,Berwick Primary School,212021293,-38.044178,145.353743,Primary
3584,Beaufort Primary School,201031014,-37.43852098,143.38171752,Primary
3585,Cheltenham Primary School,208011171,-37.968608,145.054635,Primary
3586,Cudgee Primary School,217041477,-38.347938,142.650844,Primary
3587,Newport Lakes Primary School,213021344,-37.838424,144.878345,Primary
3588,Cavendish Primary School,217011423,-37.53087,142.039893,Primary
3589,Colac Primary School,217031472,-38.337224,143.598336,Primary
3590,Castlemaine Primary School,202021027,-37.066595,144.222329,Primary
3591,Campbells Creek Primary School,202021027,-37.092935,144.204662,Primary
3592,Creswick Primary School,201021010,-37.42441331,143.89190344,Primary
3593,California Gully Primary School,202011019,-36.733207,144.249857,Primary
3594,St Andrews Primary School,209031212,-37.60213735,145.26994672,Primary
3595,Warrnambool West Primary School,217041479,-38.366338,142.466796,Primary
3596,Dromana Primary School,214021377,-38.339644,144.959653,Primary
3597,Doncaster Primary School,207021157,-37.786804,145.129673,Primary
3598,Echuca Primary School,216011406,-36.128198,144.747463,Primary
3599,Eltham Primary School,209031209,-37.72498353,145.14780418,Primary
3600,Eaglehawk Primary School,202011019,-36.720628,144.254602,Primary
3601,Elphinstone Primary School,202021028,-37.10500363,144.33290248,Primary
3602,Hallam Primary School,212021297,-38.001822,145.258217,Primary
3603,Flemington Primary School,206031115,-37.78119802,144.93345283,Primary
3604,Footscray Primary School,213031348,-37.798383,144.892669,Primary
3605,Gisborne Primary School,210021232,-37.4898787135629,144.588212568741,Primary
3606,Sandringham Primary School,208011173,-37.94751516,145.00876402,Primary
3607,Wandiligong Primary School,204031069,-36.768862,146.982923,Primary
3608,Grovedale Primary School,203021041,-38.197238,144.347794,Primary
3609,Hawthorn West Primary School,207011151,-37.820112,145.018377,Primary
3610,Heidelberg Primary School,209011198,-37.754705,145.067799,Primary
3611,Hamilton (Gray Street) Primary School,217011421,-37.744914,142.021384,Primary
3612,Heathcote Primary School,202021029,-36.924012,144.706851,Primary
3613,Highton Primary School,203021042,-38.172156,144.317085,Primary
3614,Huntly Primary School,202011025,-36.662544,144.334396,Primary
3615,Bellbrae Primary School,203031053,-38.33364403,144.26300366,Primary
3616,Chiltern Primary School,204031070,-36.1472,146.607,Primary
3617,Kyneton Primary School,202021030,-37.248649,144.462536,Primary
3618,Romsey Primary School,210021235,-37.35417523,144.74537918,Primary
3619,Shelford Primary School,203011035,-38.0139946,143.98213906,Primary
3620,Lockwood South Primary School,202021026,-36.841657,144.156966,Primary
3621,Marong Primary School,202021026,-36.735549,144.136339,Primary
3622,Mount Macedon Primary School,210021233,-37.40479379,144.5841275,Primary
3623,Mount Clear Primary School,201011004,-37.60439201,143.86818269,Primary
3624,Melton Primary School,213041356,-37.68077598,144.5867993,Primary
3625,Fitzroy Primary School,206071142,-37.799603,144.981511,Primary
3626,Newstead Primary School,202021028,-37.105917,144.06719,Primary
3627,Newlyn Primary School,201021010,-37.41202483,143.98442658,Primary
3628,Burwood East Primary School,207031166,-37.859779,145.152209,Primary
3629,New Gisborne Primary School,210021232,-37.46288785,144.59657898,Primary
3630,Beeac Primary School,217031473,-38.193973,143.644279,Primary
3631,Essendon Primary School,206031114,-37.753095,144.921042,Primary
3632,Coburg Primary School,206011108,-37.741184,144.968026,Primary
3633,Myrniong Primary School,201021009,-37.61971733,144.34631976,Primary
