rent,bedroom,baths,parking,url,Latitude,Longitude
300,2,1,1,https://www.domain.com.au/3-180-williamson-street-bendigo-vic-3550-16061472,-36.7684112,144.290465
510,1,1,1,https://www.domain.com.au/3203-118-kavanagh-street-southbank-vic-3006-14147286,-37.8253868,144.962001
330,1,1,1,https://www.domain.com.au/6-13-laura-street-moonee-ponds-vic-3039-13337996,-37.7676914,144.9157867
620,3,2,1,https://www.domain.com.au/14-patterson-street-safety-beach-vic-3936-16041036,-38.3125918,144.9980825
560,3,2,1,https://www.domain.com.au/6-gent-street-yarraville-vic-3013-16081495,-37.8139449,144.8713814
480,3,3,1,https://www.domain.com.au/7-gamble-street-oakleigh-east-vic-3166-12682900,-37.899503,145.111631
675,2,1,3,https://www.domain.com.au/3-134-brougham-street-kew-vic-3101-15828390,-37.8003413,145.0315267
420,3,1,2,https://www.domain.com.au/62-urquhart-street-castlemaine-vic-3450-16027840,-37.0599407,144.2234265
450,3,2,2,https://www.domain.com.au/11-coliban-road-werribee-vic-3030-16081270,-37.9222206,144.640631
750,4,2,5,https://www.domain.com.au/1-9-whitehorse-road-moolap-vic-3224-16033941,-38.1727555,144.4399205
410,2,1,2,https://www.domain.com.au/2-139-141-old-para-court-montmorency-vic-3094-16054388,-37.712294,145.114647
340,1,1,1,https://www.domain.com.au/111-323-charman-road-cheltenham-vic-3192-16070735,-37.963795,145.05578
450,4,2,2,https://www.domain.com.au/55-wedgetail-drive-winter-valley-vic-3358-15378752,-37.58000415437882,143.7926896507797
1000,4,3,2,https://www.domain.com.au/19-parkview-terrace-chirnside-park-vic-3116-16066086,-37.7604558,145.3048131
400,3,3,1,https://www.domain.com.au/41-lawson-street-sunbury-vic-3429-16053435,-37.5846708,144.7145405
500,2,1,1,https://www.domain.com.au/3-1-stephenson-street-springvale-vic-3171-16071473,-37.9415268,145.1536438
425,1,1,1,https://www.domain.com.au/1304-40-hall-street-moonee-ponds-vic-3039-15678619,-37.7657406,144.9208392
525,2,1,1,https://www.domain.com.au/1012-39-coventry-street-southbank-vic-3006-16080130,-37.8294033,144.9692407
420,4,2,2,https://www.domain.com.au/18-wingfield-drive-thornhill-park-vic-3335-15150239,-37.7174767,144.6360455
430,3,1,1,https://www.domain.com.au/3-36-orr-street-manifold-heights-vic-3218-16081214,-38.133224,144.334141
330,3,1,2,https://www.domain.com.au/7-balmoral-place-melton-west-vic-3337-16080086,-37.6736544,144.5658751
800,3,2,1,https://www.domain.com.au/2-1065-malvern-road-toorak-vic-3142-13704952,-37.850778,145.026527
580,4,2,2,https://www.domain.com.au/percy-jones-crt-highton-vic-3216-14710723,-38.1724625,144.3184765
410,2,1,1,https://www.domain.com.au/4-2a-keefer-street-mordialloc-vic-3195-16049050,-37.98574000000001,145.0965881
460,2,1,1,https://www.domain.com.au/9-57-spenser-street-st-kilda-vic-3182-14098574,-37.8720893,144.9776717
280,2,1,1,https://www.domain.com.au/61-campbell-street-wonthaggi-vic-3995-16077525,-38.6109807,145.577822
360,2,1,1,https://www.domain.com.au/8-8-burke-road-malvern-east-vic-3145-9958927,-37.8775707,145.0482393
350,2,1,1,https://www.domain.com.au/1-75-bentinck-street-portland-vic-3305-16076442,-38.3384516,141.6065012
390,3,2,1,https://www.domain.com.au/3-cheer-terrace-tarneit-vic-3029-16032000,-37.8307057,144.6675074
430,1,1,1,https://www.domain.com.au/712-300-swanston-street-melbourne-vic-3000-15927340,-37.8106088,144.9645798
410,3,1,1,https://www.domain.com.au/26-robinson-street-clayton-vic-3168-12661757,-37.9201402,145.1137876
550,3,1,1,https://www.domain.com.au/15-roches-terrace-williamstown-vic-3016-15969791,-37.8556254,144.8966547
990,4,2,1,https://www.domain.com.au/647-hawthorn-road-brighton-east-vic-3187-15563252,-37.9036566,145.0190954
300,1,1,1,https://www.domain.com.au/15-23-davison-street-richmond-vic-3121-16080356,-37.8127084,145.008585
700.0,4,2,4,https://www.domain.com.au/50-mason-street-newport-vic-3015-15437766,-37.841798,144.8788595
400,3,1,1,https://www.domain.com.au/25a-veronica-street-inverloch-vic-3996-16006402,-38.6428993,145.7101579
430,3,2,1,https://www.domain.com.au/53-toirram-crescent-cranbourne-vic-3977-15302555,-38.0822841,145.2681158
550,2,2,1,https://www.domain.com.au/439-111-punt-road-windsor-vic-3181-16055654,-37.8510468,144.9838866
260,1,1,1,https://www.domain.com.au/4-13-owen-street-footscray-vic-3011-16067314,-37.7877905,144.8909805
1250,4,4,2,https://www.domain.com.au/35b-hawson-avenue-glen-huntly-vic-3163-15385741,-37.8932139,145.0398549
630,2,1,1,https://www.domain.com.au/110-kangaroo-road-hughesdale-vic-3166-16054209,-37.899044,145.077172
650,4,2,2,https://www.domain.com.au/13-dingley-street-templestowe-lower-vic-3107-16072570,-37.7601627,145.1059026
545,3,1,1,https://www.domain.com.au/2-372-geelong-road-west-footscray-vic-3012-14943863,-37.8083951,144.8736332
950,5,2,1,https://www.domain.com.au/1-325-johnston-street-abbotsford-vic-3067-15871858,-37.80042299999999,144.997448
380,2,1,1,https://www.domain.com.au/2-tanika-walk-epping-vic-3076-12708064,-37.6313215,145.0256771
420,2,2,1,https://www.domain.com.au/4-23-werribee-street-werribee-vic-3030-16029779,-37.907413,144.6572967
470,3,1,1,https://www.domain.com.au/1-glika-street-donvale-vic-3111-16057243,-37.7944454,145.1708501
460,4,2,2,https://www.domain.com.au/21-toucan-road-tarneit-vic-3029-16028994,-37.83831989999999,144.6705643
370,2,1,2,https://www.domain.com.au/1-hughes-street-yarraville-vic-3013-16036155,-37.82158380000001,144.8905936
375,3,2,2,https://www.domain.com.au/31-vicars-avenue-wonthaggi-vic-3995-16063805,-38.5896647,145.5937983
725,4,3,2,https://www.domain.com.au/47-diamond-street-niddrie-vic-3042-15903578,-37.7463652,144.8896909
550,2,1,1,https://www.domain.com.au/3405-568-collins-street-melbourne-vic-3000-13932223,-37.8183759,144.9554361
180,0,1,8,https://www.domain.com.au/234-warrigal-road-camberwell-vic-3124-8431384,-37.849419,145.0954527
350,2,1,1,https://www.domain.com.au/1-34-ann-street-dandenong-vic-3175-16075350,-37.9790399,145.2146794
520,4,2,2,https://www.domain.com.au/4-astoria-road-wollert-vic-3750-16072594,-37.6168093,145.0085446
370,3,1,1,https://www.domain.com.au/804-tress-street-mount-pleasant-vic-3350-16063263,-37.5776064,143.8563861
410,2,2,1,https://www.domain.com.au/3-13-erskine-avenue-reservoir-vic-3073-16031814,-37.7234785,145.02503
440,2,1,1,https://www.domain.com.au/2-8-fitzgerald-road-essendon-vic-3040-16078553,-37.75760289999999,144.9269598
2,4,2,2,https://www.domain.com.au/winter-valley-vic-3358-15339964,-37.5694771,143.7910451
700,3,2,4,https://www.domain.com.au/4-shafer-court-endeavour-hills-vic-3802-12884955,-37.9806092,145.2630211
380,3,1,1,https://www.domain.com.au/3-37-39-may-avenue-altona-meadows-vic-3028-15821835,-37.880052,144.7735378
750,3,2,2,https://www.domain.com.au/13-daniell-crescent-caulfield-vic-3162-15245468,-37.8839267,145.0358804
160,1,2,6,https://www.domain.com.au/rooms-227-elgar-road-surrey-hills-vic-3127-15904203,-37.8353315,145.1114189
550,4,2,2,https://www.domain.com.au/23-cilroy-crescent-cranbourne-south-vic-3977-16074310,-38.1226436,145.2351638
440,2,1,1,https://www.domain.com.au/181a-derby-street-pascoe-vale-vic-3044-15901842,-37.7221917,144.9471813
400,3,2,1,https://www.domain.com.au/48-narellan-drive-keysborough-vic-3173-16065535,-37.990148,145.1698582
525,2,1,1,https://www.domain.com.au/603-spencer-street-west-melbourne-vic-3003-16065963,-37.806974,144.946149
490,3,2,2,https://www.domain.com.au/11-webster-crescent-watsonia-vic-3087-16075623,-37.71679719999999,145.085995
490,2,2,1,https://www.domain.com.au/203-436-burke-road-camberwell-vic-3124-16053293,-37.8438796,145.0546349
380,2,1,1,https://www.domain.com.au/1-91-baroda-street-travancore-vic-3032-16012180,-37.7781984,144.9349179
430,4,2,2,https://www.domain.com.au/30-mistral-way-beveridge-vic-3753-16066596,-37.4749898,144.9491872
410,3,1,2,https://www.domain.com.au/8-lawson-street-albion-vic-3020-13363169,-37.77706999999999,144.821642
390,2,1,2,https://www.domain.com.au/2-11-conole-court-lara-vic-3212-15440898,-38.0162397,144.385064
1000,4,3,1,https://www.domain.com.au/1-beckwith-avenue-alphington-vic-3078-15453613,-37.7857799,145.0278286
520,3,2,2,https://www.domain.com.au/2-3-damar-avenue-boronia-vic-3155-16073799,-37.8517962,145.2828836
525,3,2,2,https://www.domain.com.au/81-seaview-avenue-safety-beach-vic-3936-16077800,-38.3115472,144.9964793
420,3,1,3,https://www.domain.com.au/201-sussex-street-pascoe-vale-vic-3044-16023847,-37.7225855,144.9507085
460,3,1,1,https://www.domain.com.au/7-16-charnwood-crescent-st-kilda-vic-3182-14424339,-37.8595922,144.9865055
500,3,2,2,https://www.domain.com.au/45-garnett-road-wheelers-hill-vic-3150-16066246,-37.9139248,145.1988448
495,3,1,3,https://www.domain.com.au/10-miller-street-heidelberg-heights-vic-3081-16072780,-37.751729,145.0495313
490,3,2,2,https://www.domain.com.au/270-dorset-road-croydon-vic-3136-16075484,-37.7954973,145.290398
490,2,2,1,https://www.domain.com.au/104-32-mahvo-street-bentleigh-vic-3204-16067295,-37.9189522,145.0344165
435,4,2,2,https://www.domain.com.au/10-slate-way-cobblebank-vic-3338-14640926,-37.7096854,144.5914532
400,4,1,2,https://www.domain.com.au/16-sydney-parkinson-drive-endeavour-hills-vic-3802-16065527,-37.9840749,145.2636687
380,1,1,1,https://www.domain.com.au/104-771-station-street-box-hill-north-vic-3129-16059310,-37.8132239,145.1246744
650,2,2,1,https://www.domain.com.au/2203-70-dorcas-street-southbank-vic-3006-16055855,-37.830541,144.967508
520,3,1,2,https://www.domain.com.au/467a-hampton-street-hampton-vic-3188-16022069,-37.9335531,145.0029893
500,4,2,2,https://www.domain.com.au/12-pantanal-road-tarneit-vic-3029-16052365,-37.8332338,144.6550677
630,2,1,1,https://www.domain.com.au/1807-2-claremont-street-south-yarra-vic-3141-16074836,-37.83878260000001,144.993722
625,3,1,2,https://www.domain.com.au/65-morey-road-beaumaris-vic-3193-16082151,-37.9728391,145.0392553
375,3,1,2,https://www.domain.com.au/40-elm-street-wodonga-vic-3690-16078242,-36.1356753,146.8808626
380,1,1,1,https://www.domain.com.au/412-288-albert-street-brunswick-vic-3056-16079370,-37.7690355,144.9606337
420,2,1,1,https://www.domain.com.au/5-4-balfe-crescent-brunswick-west-vic-3055-16039989,-37.7682327,144.939181
420,3,2,2,https://www.domain.com.au/38-evolve-esplanade-wollert-vic-3750-16026287,-37.6076389,145.0147827
450,2,1,1,https://www.domain.com.au/8-30-blenheim-road-newport-vic-3015-16077997,-37.8456532,144.8638611
350,3,1,2,https://www.domain.com.au/20-james-street-pakenham-vic-3810-16030375,-38.074369,145.4805042
445,2,2,1,https://www.domain.com.au/3-880-pascoe-vale-road-glenroy-vic-3046-16032051,-37.7001375,144.9152969
410,3,1,2,https://www.domain.com.au/37-larool-crescent-sunshine-west-vic-3020-16022397,-37.7923011,144.8087899
700,2,1,1,https://www.domain.com.au/44-tyrone-street-south-yarra-vic-3141-15999415,-37.8446122,144.9881732
360,1,1,1,https://www.domain.com.au/304-19-russell-street-essendon-vic-3040-16076874,-37.7563126,144.9168402
450,4,2,2,https://www.domain.com.au/20-paringa-avenue-south-morang-vic-3752-16042792,-37.6424437,145.0834745
430,2,1,1,https://www.domain.com.au/3-1378-dandenong-road-hughesdale-vic-3166-15698166,-37.89319920000001,145.0870456
460,4,1,1,https://www.domain.com.au/2-castle-close-glen-waverley-vic-3150-10342987,-37.8735901,145.1878443
580,4,2,2,https://www.domain.com.au/6-eldale-avenue-greensborough-vic-3088-16065788,-37.7053434,145.1044589
750,2,2,2,https://www.domain.com.au/33-352-canterbury-rd-st-kilda-vic-3182-16005007,-37.8590955,144.9769309
600,3,3,1,https://www.domain.com.au/2-295-gilbert-road-preston-vic-3072-16025754,-37.740664,144.989459
450,4,2,1,https://www.domain.com.au/23-currawa-drive-boronia-vic-3155-16057947,-37.8698288,145.2875908
1500,3,2,1,https://www.domain.com.au/22-davis-avenue-south-yarra-vic-3141-16072495,-37.8411,144.990439
450,2,2,1,https://www.domain.com.au/102-8-bond-street-ringwood-vic-3134-16071516,-37.8137731,145.2259855
600,2,2,1,https://www.domain.com.au/3-hoskins-street-quarry-hill-vic-3550-8074820,-36.7670877,144.2829621
850,2,1,1,https://www.domain.com.au/16-glyndebourne-avenue-toorak-vic-3142-16037962,-37.8409071,145.0261925
450,1,1,1,https://www.domain.com.au/1304e-9-robert-street-collingwood-vic-3066-16080814,-37.8057684,144.987113
550,4,2,1,https://www.domain.com.au/1381-dandenong-road-malvern-east-vic-3145-12709047,-37.889618,145.082716
440,2,1,2,https://www.domain.com.au/22-flamingo-road-capel-sound-vic-3940-15661505,-38.37046,144.8697484
880,4,1,2,https://www.domain.com.au/31-foster-ave-glen-huntly-vic-3163-16064783,-37.8950744,145.0397127
450,2,2,1,https://www.domain.com.au/2-21-barwon-avenue-reservoir-vic-3073-16070924,-37.7232754,145.0235662
440,2,1,1,https://www.domain.com.au/87-balmoral-avenue-pascoe-vale-south-vic-3044-15984099,-37.7398878,144.9409874
260,2,1,1,https://www.domain.com.au/2-1-sturt-street-cobram-vic-3644-16062919,-35.92624,145.6516249
700,3,1,3,https://www.domain.com.au/261-douglas-parade-newport-vic-3015-15462878,-37.8476936,144.8920981
355,3,2,2,https://www.domain.com.au/9-springwood-terrace-manor-lakes-vic-3024-16039406,-37.8712205,144.5907981
580,3,2,2,https://www.domain.com.au/20-wests-road-maribyrnong-vic-3032-16068146,-37.7723305,144.8818692
695,3,2,2,https://www.domain.com.au/68b-walter-street-seddon-vic-3011-16077762,-37.804392,144.8926999
270,2,1,1,https://www.domain.com.au/1-14-aquila-court-ballarat-north-vic-3350-15988138,-37.5436585,143.8687382
